,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_iter,param_model__hidden_layer_sizes,param_model__alpha,param_model__activation,param_PCA__n_components,params,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2
4,0.010989856719970704,0.0015649848518886284,0.0,0.0,10000,"(15, 15, 10)",0.0001,relu,16,"{'model__max_iter': 10000, 'model__hidden_layer_sizes': (15, 15, 10), 'model__alpha': 0.0001, 'model__activation': 'relu', 'PCA__n_components': 16}",,,,,,,,22,,,,,,,,22
23,0.01440134048461914,0.00898007038410589,0.0,0.0,10000,"(20, 15, 10, 1)",0.0001,identity,16,"{'model__max_iter': 10000, 'model__hidden_layer_sizes': (20, 15, 10, 1), 'model__alpha': 0.0001, 'model__activation': 'identity', 'PCA__n_components': 16}",,,,,,,,22,,,,,,,,22
22,0.012215137481689453,0.0028355987648346825,0.0,0.0,20000,"(15, 15, 10)",0.0001,logistic,17,"{'model__max_iter': 20000, 'model__hidden_layer_sizes': (15, 15, 10), 'model__alpha': 0.0001, 'model__activation': 'logistic', 'PCA__n_components': 17}",,,,,,,,22,,,,,,,,22
20,0.009985017776489257,0.0017917294029015504,0.0,0.0,10000,"(15, 10, 10, 1)",0.0002,relu,19,"{'model__max_iter': 10000, 'model__hidden_layer_sizes': (15, 10, 10, 1), 'model__alpha': 0.0002, 'model__activation': 'relu', 'PCA__n_components': 19}",,,,,,,,22,,,,,,,,22
38,0.011205768585205078,0.0015782765065033891,0.0,0.0,10000,"(20, 15, 10, 1)",0.0001,relu,14,"{'model__max_iter': 10000, 'model__hidden_layer_sizes': (20, 15, 10, 1), 'model__alpha': 0.0001, 'model__activation': 'relu', 'PCA__n_components': 14}",,,,,,,,22,,,,,,,,22
16,0.009596920013427735,0.001958713453811282,0.0,0.0,20000,"(15, 10, 10, 1)",0.0003,relu,13,"{'model__max_iter': 20000, 'model__hidden_layer_sizes': (15, 10, 10, 1), 'model__alpha': 0.0003, 'model__activation': 'relu', 'PCA__n_components': 13}",,,,,,,,22,,,,,,,,22
14,0.01123809814453125,0.002052977156326414,0.0,0.0,10000,"(15, 15, 10)",0.0002,logistic,14,"{'model__max_iter': 10000, 'model__hidden_layer_sizes': (15, 15, 10), 'model__alpha': 0.0002, 'model__activation': 'logistic', 'PCA__n_components': 14}",,,,,,,,22,,,,,,,,22
13,0.010400199890136718,0.001960034133766465,0.0,0.0,10000,"(15, 15, 10)",0.0002,identity,16,"{'model__max_iter': 10000, 'model__hidden_layer_sizes': (15, 15, 10), 'model__alpha': 0.0002, 'model__activation': 'identity', 'PCA__n_components': 16}",,,,,,,,22,,,,,,,,22
12,0.010402584075927734,0.0019641376954555056,0.0,0.0,20000,"(15, 15, 10)",0.0002,identity,15,"{'model__max_iter': 20000, 'model__hidden_layer_sizes': (15, 15, 10), 'model__alpha': 0.0002, 'model__activation': 'identity', 'PCA__n_components': 15}",,,,,,,,22,,,,,,,,22
11,0.012032747268676758,0.0028356799073085996,0.0,0.0,20000,"(20, 15, 10, 1)",0.0001,identity,18,"{'model__max_iter': 20000, 'model__hidden_layer_sizes': (20, 15, 10, 1), 'model__alpha': 0.0001, 'model__activation': 'identity', 'PCA__n_components': 18}",,,,,,,,22,,,,,,,,22
10,0.010839080810546875,0.0016022406262867475,0.0,0.0,10000,"(20, 15, 10, 1)",0.0001,relu,13,"{'model__max_iter': 10000, 'model__hidden_layer_sizes': (20, 15, 10, 1), 'model__alpha': 0.0001, 'model__activation': 'relu', 'PCA__n_components': 13}",,,,,,,,22,,,,,,,,22
27,0.012009143829345703,0.002533968018396183,0.0,0.0,10000,"(20, 15, 10, 1)",0.0001,relu,17,"{'model__max_iter': 10000, 'model__hidden_layer_sizes': (20, 15, 10, 1), 'model__alpha': 0.0001, 'model__activation': 'relu', 'PCA__n_components': 17}",,,,,,,,22,,,,,,,,22
39,0.010847759246826173,0.002454795501806061,0.0,0.0,20000,"(15, 10, 10, 1)",0.0003,identity,18,"{'model__max_iter': 20000, 'model__hidden_layer_sizes': (15, 10, 10, 1), 'model__alpha': 0.0003, 'model__activation': 'identity', 'PCA__n_components': 18}",,,,,,,,22,,,,,,,,22
