;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_mlpregressor__solver;param_mlpregressor__max_iter;param_mlpregressor__learning_rate;param_mlpregressor__hidden_layer_sizes;param_mlpregressor__alpha;param_mlpregressor__activation;params;split0_test_neg_root_mean_squared_error;split1_test_neg_root_mean_squared_error;split2_test_neg_root_mean_squared_error;split3_test_neg_root_mean_squared_error;split4_test_neg_root_mean_squared_error;mean_test_neg_root_mean_squared_error;std_test_neg_root_mean_squared_error;rank_test_neg_root_mean_squared_error;split0_test_r2;split1_test_r2;split2_test_r2;split3_test_r2;split4_test_r2;mean_test_r2;std_test_r2;rank_test_r2
9;70.30152621;0.248712906;0.004792547;0.001602864;adam;20000;constant;(20, 15, 10, 5, 1);0.0001;tanh;{'mlpregressor__solver': 'adam', 'mlpregressor__max_iter': 20000, 'mlpregressor__learning_rate': 'constant', 'mlpregressor__hidden_layer_sizes': (20, 15, 10, 5, 1), 'mlpregressor__alpha': 0.0001, 'mlpregressor__activation': 'tanh'};-763.6453688;-625.2354949;-555.672129;-614.8588433;-666.9631825;-645.2750037;69.04682517;30;-0.432952468;-0.456010902;-0.555962901;-0.511381609;-0.451600764;-0.481581729;0.045471138;30
4;71.19571509;5.172806698;0.005020952;0.002993632;adam;20000;adaptive;(20, 15, 10, 5, 1);0.0002;tanh;{'mlpregressor__solver': 'adam', 'mlpregressor__max_iter': 20000, 'mlpregressor__learning_rate': 'adaptive', 'mlpregressor__hidden_layer_sizes': (20, 15, 10, 5, 1), 'mlpregressor__alpha': 0.0002, 'mlpregressor__activation': 'tanh'};-763.6453689;-625.235495;-555.6721291;-614.8588434;-666.9631826;-645.2750038;69.04682516;31;-0.432952468;-0.456010902;-0.555962902;-0.51138161;-0.451600765;-0.481581729;0.045471138;31
21;18.55637808;0.889883952;0;0;sgd;10000;constant;(20, 15, 5);0.0004;identity;{'mlpregressor__solver': 'sgd', 'mlpregressor__max_iter': 10000, 'mlpregressor__learning_rate': 'constant', 'mlpregressor__hidden_layer_sizes': (20, 15, 5), 'mlpregressor__alpha': 0.0004, 'mlpregressor__activation': 'identity'};;;;;;;;32;;;;;;;;32
16;21.89426746;2.195639518;0;0;sgd;10000;constant;(15, 15, 10, 1);0.0002;identity;{'mlpregressor__solver': 'sgd', 'mlpregressor__max_iter': 10000, 'mlpregressor__learning_rate': 'constant', 'mlpregressor__hidden_layer_sizes': (15, 15, 10, 1), 'mlpregressor__alpha': 0.0002, 'mlpregressor__activation': 'identity'};;;;;;;;32;;;;;;;;32
29;40.00742955;1.144942568;0;0;sgd;20000;constant;(20, 10, 5);0.0003;identity;{'mlpregressor__solver': 'sgd', 'mlpregressor__max_iter': 20000, 'mlpregressor__learning_rate': 'constant', 'mlpregressor__hidden_layer_sizes': (20, 10, 5), 'mlpregressor__alpha': 0.0003, 'mlpregressor__activation': 'identity'};;;;;;;;32;;;;;;;;32
30;53.66738262;0.951888476;0;0;sgd;20000;constant;(30, 20, 10, 1);0.0002;identity;{'mlpregressor__solver': 'sgd', 'mlpregressor__max_iter': 20000, 'mlpregressor__learning_rate': 'constant', 'mlpregressor__hidden_layer_sizes': (30, 20, 10, 1), 'mlpregressor__alpha': 0.0002, 'mlpregressor__activation': 'identity'};;;;;;;;32;;;;;;;;32
7;46.01342673;5.459966228;0;0;sgd;20000;adaptive;(15, 15, 10, 1);0.0004;identity;{'mlpregressor__solver': 'sgd', 'mlpregressor__max_iter': 20000, 'mlpregressor__learning_rate': 'adaptive', 'mlpregressor__hidden_layer_sizes': (15, 15, 10, 1), 'mlpregressor__alpha': 0.0004, 'mlpregressor__activation': 'identity'};;;;;;;;32;;;;;;;;32
35;11.13704391;13.59408044;0.002194023;0.001827991;sgd;10000;constant;(20, 15, 10, 10, 5);0.0004;relu;{'mlpregressor__solver': 'sgd', 'mlpregressor__max_iter': 10000, 'mlpregressor__learning_rate': 'constant', 'mlpregressor__hidden_layer_sizes': (20, 15, 10, 10, 5), 'mlpregressor__alpha': 0.0004, 'mlpregressor__activation': 'relu'};;-2.82E+42;;-3.64E+24;-1.77E+65;;;32;;-2.97E+79;;-5.28E+43;-1.02E+125;;;32
6;16.26094398;19.88893475;0.002593231;0.002148416;sgd;20000;invscaling;(15, 15, 10);0.0003;relu;{'mlpregressor__solver': 'sgd', 'mlpregressor__max_iter': 20000, 'mlpregressor__learning_rate': 'invscaling', 'mlpregressor__hidden_layer_sizes': (15, 15, 10), 'mlpregressor__alpha': 0.0003, 'mlpregressor__activation': 'relu'};;-681.143911;;-7.80E+129;-2.25E+22;;;32;;-0.728045342;;-2.43E+254;-1.65E+39;;;32
24;19.84717894;9.849795464;0.00362649;0.007252979;sgd;10000;adaptive;(20, 20, 15);0.0003;relu;{'mlpregressor__solver': 'sgd', 'mlpregressor__max_iter': 10000, 'mlpregressor__learning_rate': 'adaptive', 'mlpregressor__hidden_layer_sizes': (20, 20, 15), 'mlpregressor__alpha': 0.0003, 'mlpregressor__activation': 'relu'};;;;-7.45E+147;;;;32;;;;-2.22E+290;;;;32
39;19.22350268;2.092485215;0;0;sgd;10000;adaptive;(20, 15, 5, 1);0.0004;identity;{'mlpregressor__solver': 'sgd', 'mlpregressor__max_iter': 10000, 'mlpregressor__learning_rate': 'adaptive', 'mlpregressor__hidden_layer_sizes': (20, 15, 5, 1), 'mlpregressor__alpha': 0.0004, 'mlpregressor__activation': 'identity'};;;;;;;;32;;;;;;;;32
